measured_at,station_code,pm25,pm10,o3,co,no2,so2,aqi
2026-08-24T23:00:00,119t,17.9,,13.0,1.3,,,33
2026-08-24T23:00:00,02t,10.9,,,,,,18
2026-08-24T20:00:00,03t,13.6,,,,,,23
2026-08-24T20:00:00,05t,10.8,,,,,,18
2026-08-24T20:00:00,12t,10.7,,,,,,18
2026-08-24T23:00:00,50t,13.8,,,,,,23
2026-08-24T23:00:00,52t,13.2,,,,,,22
2026-08-24T23:00:00,53t,13.2,,,,,,22
2026-08-24T20:00:00,54t,14.0,,,,,,23
2026-08-24T23:00:00,59t,9.1,19.0,17.0,0.7,8.0,,15
2026-08-24T23:00:00,61t,10.4,,,,,,17
2026-08-24T23:00:00,bkp100t,7.2,,,,,,12
2026-08-24T23:00:00,bkp101t,13.4,22.0,,,,,22
2026-08-24T23:00:00,bkp102t,9.5,41.0,,,,,21
2026-08-24T23:00:00,bkp103t,11.9,,,,,,20
2026-08-24T23:00:00,bkp104t,11.1,26.0,,,,,19
2026-08-24T23:00:00,bkp105t,17.4,,,,,,32
2026-08-24T23:00:00,bkp114t,8.4,,,,,,14
2026-08-24T23:00:00,bkp115t,8.5,,,,,,14
2026-08-24T23:00:00,bkp116t,8.9,,,,,,15
2026-08-24T23:00:00,bkp117t,7.8,,,,,,13
2026-08-24T23:00:00,bkp118t,12.0,,,,,,20
2026-08-24T23:00:00,bkp119t,9.8,,,,,,16
2026-08-24T23:00:00,bkp120t,9.5,,,,,,16
2026-08-24T23:00:00,bkp121t,9.0,,,,,,15
2026-08-24T23:00:00,bkp122t,7.9,,,,,,13
2026-08-24T23:00:00,bkp123t,8.2,,,,,,14
2026-08-24T23:00:00,bkp124t,14.3,,,,,,24
2026-08-24T23:00:00,bkp125t,12.8,,,,,,21
2026-08-24T23:00:00,bkp126t,11.0,,,,,,18
2026-08-24T23:00:00,bkp127t,17.2,,,,,,31
2026-08-24T23:00:00,bkp128t,8.2,,,,,,14
2026-08-24T23:00:00,bkp129t,9.0,,,,,,15
2026-08-24T23:00:00,bkp130t,8.3,,,,,,14
2026-08-24T23:00:00,bkp131t,8.2,,,,,,14
2026-08-24T23:00:00,bkp133t,10.0,,,,,,17
2026-08-24T23:00:00,bkp56t,12.2,52.0,,,,,27
2026-08-24T23:00:00,bkp57t,11.4,38.0,,,,,19
2026-08-24T23:00:00,bkp58t,17.6,55.0,,,,,32
2026-08-24T23:00:00,bkp59t,8.3,39.0,,,,,20
2026-08-24T23:00:00,bkp60t,9.2,35.0,,,,,18
2026-08-24T23:00:00,bkp61t,9.7,22.0,,,,,16
2026-08-24T23:00:00,bkp62t,19.1,,,,,,36
2026-08-24T23:00:00,bkp63t,11.4,,,,,,19
2026-08-24T23:00:00,bkp64t,19.7,,,,,,37
2026-08-24T23:00:00,bkp65t,15.1,,,,,,26
2026-08-24T17:00:00,bkp66t,12.8,,,,,,21
2026-08-24T23:00:00,bkp67t,15.5,,,,,,27
2026-08-24T23:00:00,bkp69t,13.8,,,,,,23
2026-08-24T23:00:00,bkp70t,8.0,29.0,,,,,15
2026-08-24T23:00:00,bkp71t,7.0,29.0,,,,,15
2026-08-24T23:00:00,bkp72t,13.4,47.0,,,,,24
2026-08-24T23:00:00,bkp73t,11.2,,,,,,19
2026-08-24T23:00:00,bkp74t,8.2,33.0,,,,,17
2026-08-24T23:00:00,bkp75t,13.9,37.0,,,,,23
2026-08-24T23:00:00,bkp76t,8.4,,,,,,14
2026-08-24T23:00:00,bkp77t,8.9,27.0,,,,,15
2026-08-24T23:00:00,bkp78t,19.7,,,,,,37
2026-08-24T23:00:00,bkp79t,14.4,34.0,,,,,24
2026-08-24T23:00:00,bkp80t,14.8,66.0,,,,,38
2026-08-24T23:00:00,bkp81t,18.7,65.0,,,,,38
2026-08-24T23:00:00,bkp82t,12.0,,,,,,20
2026-08-24T23:00:00,bkp83t,8.6,,,,,,14
2026-08-24T23:00:00,bkp84t,15.9,39.0,,,,,28
2026-08-24T23:00:00,bkp85t,14.8,,,,,,25
2026-08-24T23:00:00,bkp86t,12.6,23.0,,,,,21
2026-08-24T23:00:00,bkp87t,9.8,24.0,,,,,16
2026-08-24T23:00:00,bkp88t,15.2,,,,,,26
2026-08-24T23:00:00,bkp89t,15.5,48.0,,,,,27
2026-08-24T23:00:00,bkp90t,15.3,44.0,,,,,26
2026-08-24T23:00:00,bkp91t,9.6,36.0,,,,,18
2026-08-24T23:00:00,bkp92t,15.3,,,,,,26
2026-08-24T23:00:00,bkp93t,8.3,28.0,,,,,14
2026-08-24T23:00:00,bkp94t,12.9,,,,,,22
2026-08-24T23:00:00,bkp95t,14.4,,,,,,24
2026-08-24T23:00:00,bkp96t,12.0,27.0,,,,,20
2026-08-24T23:00:00,bkp97t,15.1,,,,,,26
2026-08-24T23:00:00,bkp98t,19.7,,,,,,37
2026-08-24T23:00:00,bkp99t,8.3,18.0,,,,,14
2026-08-24T23:00:00,o10,10.8,,,,,,18
2026-08-24T23:00:00,79t,17.2,,,,,,31
2026-08-24T23:00:00,107t,11.3,,26.0,0.2,1.0,0.0,19
2026-08-24T23:00:00,94t,13.3,25.0,,,,,22
2026-08-24T23:00:00,46t,17.0,,,,,,31
2026-08-24T23:00:00,100t,4.5,32.0,13.0,0.0,2.0,0.0,16
2026-08-24T23:00:00,60t,13.4,,,,,,22
2026-08-24T23:00:00,33t,8.5,,,,,,14
2026-08-24T23:00:00,34t,8.9,,,,,,15
2026-08-24T23:00:00,o61,7.2,,,,,,12
2026-08-24T23:00:00,117t,19.0,,11.0,0.3,2.0,1.0,35
2026-08-24T23:00:00,108t,8.2,,31.0,2.1,1.0,2.0,22
2026-08-24T23:00:00,118t,12.8,,5.0,0.8,7.0,0.0,21
2026-08-24T23:00:00,93t,25.9,49.0,,0.0,,0.0,54
2026-08-24T23:00:00,87t,9.9,,,,0.0,,17
2026-08-24T20:00:00,76t,11.5,,,,,,19
2026-08-24T23:00:00,105t,9.8,,14.0,0.2,9.0,1.0,16
2026-08-24T23:00:00,81t,5.9,,,,,,10
2026-08-24T23:00:00,88t,12.2,23.0,,,2.0,,20
2026-08-24T23:00:00,47t,17.8,,,,,,33
2026-08-24T20:00:00,89t,27.5,43.0,,,,,60
2026-08-24T20:00:00,41t,11.3,,,,,,19
2026-08-24T23:00:00,13t,6.6,23.0,16.0,0.2,,,12
2026-08-24T23:00:00,22t,10.4,25.0,,,,,17
